id_integrante;Unidade;Cargo / Nome;Data Contratação;Idade;Status do Integrante;Fonte Recrutamento;Ano Contratacao
E001;Beta;Assistente  / Evans;01/09/2015;38;Ativo;Site da Empresa;01/09/2015
E002;Beta;Gerente / Ramos;03/02/2015;45;Ativo;Indicação Funcionários;03/02/2015
E003;Beta;Gerente / Montgomery;06/07/2017;49;Ativo;Site de Vagas;06/07/2017
E004;Sul;Consultor / Morris;04/11/2018;26;Ativo;Site de Vagas;04/11/2018
E005;Sul;Gerente / Simmons;28/09/2017;35;Ativo;Feira de Contratação;28/09/2017
E006;Alpha;Consultor / Vasquez;04/12/2017;42;Ativo;Site de Vagas;04/12/2017
E007;Gama;Supervisor / Simpson;18/08/2016;30;Ativo;Site de Vagas;18/08/2016
E008;Alpha;Consultor / Rivera;06/07/2017;27;Ativo;Feira de Contratação;06/07/2017
E009;Alpha;Gerente / Martinez;07/06/2019;35;Ativo;Indicação Funcionários;07/06/2019
E010;Beta;Operador / Burton;30/06/2016;38;Ativo;Site de Vagas;30/06/2016
E011;Gama;Assistente  / Porter;01/09/2015;35;Ativo;Site da Empresa;01/09/2015
E012;Sul;Assistente  / Butler;18/08/2016;25;Ativo;Feira de Contratação;18/08/2016
E013;Alpha;Operador / Alexander;30/09/2014;36;Ativo;Site de Vagas;30/09/2014
E014;Alpha;Gerente / Duncan;10/11/2016;41;Ativo;Feira de Contratação;10/11/2016
E015;Sul;Assistente  / Peters;06/08/2016;31;Ativo;Indicação Funcionários;06/08/2016
E016;Alpha;Supervisor / Castillo;19/02/2015;47;Ativo;Site de Vagas;19/02/2015
E017;Alpha;Assistente  / Kim;18/02/2016;49;Ativo;Site da Empresa;18/02/2016
E018;Gama;Consultor / Long;06/08/2016;38;Ativo;Indicação Funcionários;06/08/2016
E019;Alpha;Operador / Diaz;03/02/2015;29;Ativo;Site de Vagas;03/02/2015
E020;Sul;Supervisor / Larson;29/03/2018;30;Ativo;Indicação Funcionários;29/03/2018
E021;Beta;Operador / Hanson;06/02/2015;36;Ativo;Site da Empresa;06/02/2015
E022;Alpha;Assistente  / Ruiz;11/05/2015;43;Ativo;Site de Vagas;11/05/2015
E023;Gama;Consultor / Hernandez;07/09/2015;29;Ativo;Site de Vagas;07/09/2015
E024;Beta;Supervisor / Griffin;30/05/2014;38;Ativo;Feira de Contratação;30/05/2014
E025;Sul;Consultor / Green;06/08/2016;31;Ativo;Indicação Funcionários;06/08/2016
E026;Sul;Gerente / Armstrong;10/05/2010;34;Ativo;Site de Vagas;10/05/2010
E027;Beta;Operador / Payne;31/05/2017;42;Ativo;Site de Vagas;31/05/2017
E028;Beta;Supervisor / Bennett;16/02/2017;33;Ativo;Site de Vagas;16/02/2017
E029;Sul;Supervisor / Cook;28/09/2017;37;Ativo;Feira de Contratação;28/09/2017
E030;Sul;Consultor / Lewis;01/07/2011;27;Ativo;Site da Empresa;01/07/2011
E031;Alpha;Assistente  / Ryan;03/04/2014;45;Ativo;Site de Vagas;03/04/2014
E032;Alpha;Operador / Hawkins;04/12/2017;36;Ativo;Site de Vagas;04/12/2017
E033;Beta;Assistente  / Little;06/02/2015;38;Ativo;Site da Empresa;06/02/2015
E034;Alpha;Consultor / Nguyen;14/05/2015;34;Ativo;Site de Vagas;14/05/2015
E035;Alpha;Operador / Roberts;04/01/2016;31;Ativo;Site da Empresa;04/01/2016
E036;Gama;Assistente  / Holmes;28/09/2017;27;Ativo;Feira de Contratação;28/09/2017
E037;Beta;Assistente  / Berry;14/05/2015;47;Ativo;Site de Vagas;14/05/2015
E038;Alpha;Assistente  / Brown;19/02/2015;32;Ativo;Site da Empresa;19/02/2015
E039;Gama;Operador / Wallace;30/03/2017;33;Ativo;Site da Empresa;30/03/2017
E040;Beta;Consultor / Cunningham;30/04/2018;39;Ativo;Site da Empresa;30/04/2018
E041;Gama;Consultor / Torres;10/10/2017;41;Ativo;Site da Empresa;10/10/2017
E042;Alpha;Consultor / Fowler;30/03/2017;37;Ativo;Indicação Funcionários;30/03/2017
E043;Beta;Assistente  / Price;15/05/2014;33;Ativo;Site da Empresa;15/05/2014
E044;Gama;Gerente / Tucker;31/05/2017;52;Ativo;Feira de Contratação;31/05/2017
E045;Beta;Consultor / Rice;29/09/2016;39;Ativo;Feira de Contratação;29/09/2016
E046;Gama;Assistente  / Graham;31/05/2017;54;Ativo;Indicação Funcionários;31/05/2017
E047;Gama;Assistente  / Reynolds;16/02/2017;31;Ativo;Feira de Contratação;16/02/2017
E048;Alpha;Assistente  / Miller;29/09/2016;33;Ativo;Indicação Funcionários;29/09/2016
E049;Sul;Consultor / Walker;18/08/2016;52;Ativo;Site da Empresa;18/08/2016
E050;Gama;Assistente  / Williams;09/03/2014;27;Ativo;Site de Vagas;09/03/2014
E051;Sul;Gerente / Day;04/12/2017;33;Ativo;Site de Vagas;04/12/2017
E052;Sul;Assistente  / Rose;19/02/2015;29;Ativo;Site de Vagas;19/02/2015
E053;Sul;Consultor / Ford;10/11/2016;23;Ativo;Site de Vagas;10/11/2016
E054;Alpha;Assistente  / Sims;13/08/2015;32;Ativo;Site da Empresa;13/08/2015
E055;Alpha;Operador / Watson;16/02/2017;38;Ativo;Feira de Contratação;16/02/2017
E056;Sul;Consultor / Weaver;31/05/2017;29;Ativo;Site de Vagas;31/05/2017
E057;Sul;Gerente / Wheeler;25/04/2013;42;Ativo;Site de Vagas;25/04/2013
E058;Gama;Gerente / Myers;10/11/2016;51;Ativo;Indicação Funcionários;10/11/2016
E059;Gama;Supervisor / Alvarez;06/08/2016;36;Ativo;Feira de Contratação;06/08/2016
E060;Beta;Assistente  / Davis;29/09/2016;50;Ativo;Indicação Funcionários;29/09/2016
E061;Sul;Gerente / Stanley;30/06/2016;28;Ativo;Site de Vagas;30/06/2016
E062;Sul;Assistente  / Ross;30/09/2014;33;Ativo;Indicação Funcionários;30/09/2014
